error    libmamba Could not set lock (Resource temporarily unavailable)
warning  libmamba Cannot lock '/home/julian/.cache/mamba/proc'
    Waiting for other mamba process to finish
[r3030] best=72204.2930 gains=0 vars~2439 t=424s status=OPTIMAL obj_int=11943778
[r3040] best=72204.2930 gains=0 vars~2506 t=425s status=OPTIMAL obj_int=11956006
[r3050] best=72204.2930 gains=0 vars~2465 t=427s status=OPTIMAL obj_int=11717451
[r3060] best=72204.2930 gains=0 vars~2440 t=428s status=OPTIMAL obj_int=11912859
[r3070] best=72204.2930 gains=0 vars~2376 t=429s status=OPTIMAL obj_int=11942154
[r3080] best=72204.2930 gains=0 vars~2479 t=430s status=OPTIMAL obj_int=11804838
[r3090] best=72204.2930 gains=0 vars~2451 t=432s status=OPTIMAL obj_int=11821726
[r3100] best=72204.2930 gains=0 vars~2415 t=433s status=OPTIMAL obj_int=11869318
[r3110] best=72204.2930 gains=0 vars~2411 t=434s status=OPTIMAL obj_int=11942283
[r3120] best=72204.2930 gains=0 vars~2373 t=436s status=OPTIMAL obj_int=12041105
[r3130] best=72204.2930 gains=0 vars~2431 t=437s status=OPTIMAL obj_int=11817621
[r3140] best=72204.2930 gains=0 vars~2431 t=438s status=OPTIMAL obj_int=11968532
[r3150] best=72204.2930 gains=0 vars~2443 t=439s status=OPTIMAL obj_int=11832859
[r3160] best=72204.2930 gains=0 vars~2480 t=441s status=OPTIMAL obj_int=11872490
[r3170] best=72204.2930 gains=0 vars~2468 t=442s status=OPTIMAL obj_int=11908146
[r3180] best=72204.2930 gains=0 vars~2459 t=443s status=OPTIMAL obj_int=11837819
[r3190] best=72204.2930 gains=0 vars~2466 t=444s status=OPTIMAL obj_int=11882116
[r3200] best=72204.2930 gains=0 vars~2446 t=446s status=OPTIMAL obj_int=11837961
[r3210] best=72204.2930 gains=0 vars~2443 t=447s status=OPTIMAL obj_int=11869580
[r3220] best=72204.2930 gains=0 vars~2430 t=448s status=OPTIMAL obj_int=12032222
[r3230] best=72204.2930 gains=0 vars~2454 t=449s status=OPTIMAL obj_int=11914997
[r3240] best=72204.2930 gains=0 vars~2458 t=451s status=OPTIMAL obj_int=11950424
[r3250] best=72204.2930 gains=0 vars~2438 t=452s status=OPTIMAL obj_int=11791827
[r3260] best=72204.2930 gains=0 vars~2489 t=453s status=OPTIMAL obj_int=11930827
[r3270] best=72204.2930 gains=0 vars~2452 t=454s status=OPTIMAL obj_int=11915256
[r3280] best=72204.2930 gains=0 vars~2420 t=456s status=OPTIMAL obj_int=11783953
[r3290] best=72204.2930 gains=0 vars~2454 t=457s status=OPTIMAL obj_int=11829392
[r3300] best=72204.2930 gains=0 vars~2441 t=458s status=OPTIMAL obj_int=11808608
[r3310] best=72204.2930 gains=0 vars~2429 t=459s status=OPTIMAL obj_int=11965706
[r3320] best=72204.2930 gains=0 vars~2406 t=461s status=OPTIMAL obj_int=11920998
[r3330] best=72204.2930 gains=0 vars~2363 t=462s status=OPTIMAL obj_int=11879865
[r3340] best=72204.2930 gains=0 vars~2439 t=463s status=OPTIMAL obj_int=11907779
[r3350] best=72204.2930 gains=0 vars~2393 t=464s status=OPTIMAL obj_int=11970690
[r3360] best=72204.2930 gains=0 vars~2417 t=466s status=OPTIMAL obj_int=11999015
[r3370] best=72204.2930 gains=0 vars~2495 t=467s status=OPTIMAL obj_int=11830678
[r3380] best=72204.2930 gains=0 vars~2429 t=468s status=OPTIMAL obj_int=11835627
[r3390] best=72204.2930 gains=0 vars~2441 t=469s status=OPTIMAL obj_int=11958152
[r3400] best=72204.2930 gains=0 vars~2441 t=471s status=OPTIMAL obj_int=11836405
[r3410] best=72204.2930 gains=0 vars~2464 t=472s status=OPTIMAL obj_int=11876344
[r3420] best=72204.2930 gains=0 vars~2432 t=473s status=OPTIMAL obj_int=11865017
[r3430] best=72204.2930 gains=0 vars~2376 t=474s status=OPTIMAL obj_int=11906474
[r3440] best=72204.2930 gains=0 vars~2433 t=476s status=OPTIMAL obj_int=11896135
[r3450] best=72204.2930 gains=0 vars~2414 t=477s status=OPTIMAL obj_int=11905339
[r3460] best=72204.2930 gains=0 vars~2425 t=478s status=OPTIMAL obj_int=11784893
[r3470] best=72204.2930 gains=0 vars~2422 t=479s status=OPTIMAL obj_int=11906044
[r3480] best=72204.2930 gains=0 vars~2446 t=481s status=OPTIMAL obj_int=11932139
[r3490] best=72204.2930 gains=0 vars~2467 t=482s status=OPTIMAL obj_int=11941026
[r3500] best=72204.2930 gains=0 vars~2471 t=483s status=OPTIMAL obj_int=11947142
[r3510] best=72204.2930 gains=0 vars~2438 t=485s status=OPTIMAL obj_int=11877396
[r3520] best=72204.2930 gains=0 vars~2419 t=486s status=OPTIMAL obj_int=11834965
[r3530] best=72204.2930 gains=0 vars~2440 t=487s status=OPTIMAL obj_int=11953922
[r3540] best=72204.2930 gains=0 vars~2428 t=489s status=OPTIMAL obj_int=11974867
[r3550] best=72204.2930 gains=0 vars~2411 t=490s status=OPTIMAL obj_int=11890581
[r3560] best=72204.2930 gains=0 vars~2445 t=491s status=OPTIMAL obj_int=12011937
[r3570] best=72204.2930 gains=0 vars~2426 t=492s status=OPTIMAL obj_int=11795509
[r3580] best=72204.2930 gains=0 vars~2450 t=494s status=OPTIMAL obj_int=11963432
[r3590] best=72204.2930 gains=0 vars~2432 t=495s status=OPTIMAL obj_int=11898816
[r3600] best=72204.2930 gains=0 vars~2480 t=496s status=OPTIMAL obj_int=11875614
[r3610] best=72204.2930 gains=0 vars~2443 t=497s status=OPTIMAL obj_int=11905956
[r3620] best=72204.2930 gains=0 vars~2428 t=499s status=OPTIMAL obj_int=11980559
[r3630] best=72204.2930 gains=0 vars~2407 t=500s status=OPTIMAL obj_int=11703822
[r3640] best=72204.2930 gains=0 vars~2444 t=501s status=OPTIMAL obj_int=11851628
[r3650] best=72204.2930 gains=0 vars~2410 t=502s status=OPTIMAL obj_int=11829702
[r3660] best=72204.2930 gains=0 vars~2454 t=504s status=OPTIMAL obj_int=11926575
[r3670] best=72204.2930 gains=0 vars~2467 t=505s status=OPTIMAL obj_int=11963881
[r3680] best=72204.2930 gains=0 vars~2425 t=506s status=OPTIMAL obj_int=12017057
[r3690] best=72204.2930 gains=0 vars~2355 t=508s status=OPTIMAL obj_int=11837960
[r3700] best=72204.2930 gains=0 vars~2470 t=509s status=OPTIMAL obj_int=11858951
[r3710] best=72204.2930 gains=0 vars~2487 t=510s status=OPTIMAL obj_int=11854453
[r3720] best=72204.2930 gains=0 vars~2455 t=511s status=OPTIMAL obj_int=11824976
[r3730] best=72204.2930 gains=0 vars~2447 t=512s status=OPTIMAL obj_int=11886556
[r3740] best=72204.2930 gains=0 vars~2443 t=514s status=OPTIMAL obj_int=11955697
[r3750] best=72204.2930 gains=0 vars~2416 t=515s status=OPTIMAL obj_int=11978259
[r3760] best=72204.2930 gains=0 vars~2392 t=516s status=OPTIMAL obj_int=11849407
[r3770] best=72204.2930 gains=0 vars~2436 t=517s status=OPTIMAL obj_int=11975236
[r3780] best=72204.2930 gains=0 vars~2457 t=519s status=OPTIMAL obj_int=11862814
[r3790] best=72204.2930 gains=0 vars~2419 t=520s status=OPTIMAL obj_int=11805298
[r3800] best=72204.2930 gains=0 vars~2441 t=521s status=OPTIMAL obj_int=11880061
[r3810] best=72204.2930 gains=0 vars~2410 t=522s status=OPTIMAL obj_int=11886951
[r3820] best=72204.2930 gains=0 vars~2397 t=524s status=OPTIMAL obj_int=11843210
[r3830] best=72204.2930 gains=0 vars~2426 t=525s status=OPTIMAL obj_int=11928526
[r3840] best=72204.2930 gains=0 vars~2437 t=526s status=OPTIMAL obj_int=11871646
[r3850] best=72204.2930 gains=0 vars~2448 t=527s status=OPTIMAL obj_int=11778826
[r3860] best=72204.2930 gains=0 vars~2415 t=529s status=OPTIMAL obj_int=11820910
[r3870] best=72204.2930 gains=0 vars~2459 t=530s status=OPTIMAL obj_int=11936335
[r3880] best=72204.2930 gains=0 vars~2439 t=531s status=OPTIMAL obj_int=11995340
[r3890] best=72204.2930 gains=0 vars~2462 t=532s status=OPTIMAL obj_int=11923978
[r3900] best=72204.2930 gains=0 vars~2443 t=534s status=OPTIMAL obj_int=11872132
[r3910] best=72204.2930 gains=0 vars~2388 t=535s status=OPTIMAL obj_int=11814351
[r3920] best=72204.2930 gains=0 vars~2444 t=536s status=OPTIMAL obj_int=11964608
[r3930] best=72204.2930 gains=0 vars~2452 t=537s status=OPTIMAL obj_int=11842151
[r3940] best=72204.2930 gains=0 vars~2492 t=539s status=OPTIMAL obj_int=11912710
[r3950] best=72204.2930 gains=0 vars~2484 t=540s status=OPTIMAL obj_int=11929323
[r3960] best=72204.2930 gains=0 vars~2367 t=541s status=OPTIMAL obj_int=11796262
[r3970] best=72204.2930 gains=0 vars~2387 t=542s status=OPTIMAL obj_int=11813346
[r3980] best=72204.2930 gains=0 vars~2417 t=544s status=OPTIMAL obj_int=11842386
[r3990] best=72204.2930 gains=0 vars~2379 t=545s status=OPTIMAL obj_int=11806797
[r4000] best=72204.2930 gains=0 vars~2404 t=546s status=OPTIMAL obj_int=11810284
[r4010] best=72204.2930 gains=0 vars~2506 t=547s status=OPTIMAL obj_int=11877662
[r4020] best=72204.2930 gains=0 vars~2447 t=549s status=OPTIMAL obj_int=11866866
[r4030] best=72204.2930 gains=0 vars~2427 t=550s status=OPTIMAL obj_int=11839825
[r4040] best=72204.2930 gains=0 vars~2421 t=551s status=OPTIMAL obj_int=11902984
[r4050] best=72204.2930 gains=0 vars~2430 t=552s status=OPTIMAL obj_int=11978709
[r4060] best=72204.2930 gains=0 vars~2453 t=554s status=OPTIMAL obj_int=11989942
[r4070] best=72204.2930 gains=0 vars~2478 t=555s status=OPTIMAL obj_int=12012676
[r4080] best=72204.2930 gains=0 vars~2409 t=556s status=OPTIMAL obj_int=11717165
[r4090] best=72204.2930 gains=0 vars~2382 t=557s status=OPTIMAL obj_int=11933773
[r4100] best=72204.2930 gains=0 vars~2467 t=559s status=OPTIMAL obj_int=11871338
[r4110] best=72204.2930 gains=0 vars~2439 t=560s status=OPTIMAL obj_int=11873025
[r4120] best=72204.2930 gains=0 vars~2446 t=561s status=OPTIMAL obj_int=11851147
[r4130] best=72204.2930 gains=0 vars~2510 t=562s status=OPTIMAL obj_int=11933725
[r4140] best=72204.2930 gains=0 vars~2388 t=564s status=OPTIMAL obj_int=11894370
[r4150] best=72204.2930 gains=0 vars~2439 t=565s status=OPTIMAL obj_int=11992202
[r4160] best=72204.2930 gains=0 vars~2484 t=566s status=OPTIMAL obj_int=11866930
[r4170] best=72204.2930 gains=0 vars~2449 t=567s status=OPTIMAL obj_int=11906046
[r4180] best=72204.2930 gains=0 vars~2440 t=569s status=OPTIMAL obj_int=11946224
[r4190] best=72204.2930 gains=0 vars~2511 t=570s status=OPTIMAL obj_int=11921424
[r4200] best=72204.2930 gains=0 vars~2408 t=571s status=OPTIMAL obj_int=11893036
[r4210] best=72204.2930 gains=0 vars~2456 t=573s status=OPTIMAL obj_int=11900708
[r4220] best=72204.2930 gains=0 vars~2414 t=574s status=OPTIMAL obj_int=11847974
[r4230] best=72204.2930 gains=0 vars~2426 t=575s status=OPTIMAL obj_int=11940887
[r4240] best=72204.2930 gains=0 vars~2440 t=576s status=OPTIMAL obj_int=11998645
[r4250] best=72204.2930 gains=0 vars~2484 t=578s status=OPTIMAL obj_int=11840929
[r4260] best=72204.2930 gains=0 vars~2478 t=579s status=OPTIMAL obj_int=11839573
[r4270] best=72204.2930 gains=0 vars~2449 t=580s status=OPTIMAL obj_int=11788483
[r4280] best=72204.2930 gains=0 vars~2433 t=582s status=OPTIMAL obj_int=11910188
[r4290] best=72204.2930 gains=0 vars~2453 t=583s status=OPTIMAL obj_int=11793671
[r4300] best=72204.2930 gains=0 vars~2426 t=584s status=OPTIMAL obj_int=11904840
[r4310] best=72204.2930 gains=0 vars~2424 t=585s status=OPTIMAL obj_int=11923863
[r4320] best=72204.2930 gains=0 vars~2460 t=587s status=OPTIMAL obj_int=11897417
[r4330] best=72204.2930 gains=0 vars~2410 t=588s status=OPTIMAL obj_int=11908508
[r4340] best=72204.2930 gains=0 vars~2400 t=589s status=OPTIMAL obj_int=11902012
[r4350] best=72204.2930 gains=0 vars~2495 t=590s status=OPTIMAL obj_int=11891448
[r4360] best=72204.2930 gains=0 vars~2412 t=591s status=OPTIMAL obj_int=11846172
[r4370] best=72204.2930 gains=0 vars~2420 t=593s status=OPTIMAL obj_int=11974827
[r4380] best=72204.2930 gains=0 vars~2461 t=594s status=OPTIMAL obj_int=11762270
[r4390] best=72204.2930 gains=0 vars~2433 t=595s status=OPTIMAL obj_int=12041145
[r4400] best=72204.2930 gains=0 vars~2424 t=596s status=OPTIMAL obj_int=11876718
[r4410] best=72204.2930 gains=0 vars~2415 t=598s status=OPTIMAL obj_int=11862262
[r4420] best=72204.2930 gains=0 vars~2443 t=599s status=OPTIMAL obj_int=11871633
[r4430] best=72204.2930 gains=0 vars~2443 t=600s status=OPTIMAL obj_int=11786865
[r4440] best=72204.2930 gains=0 vars~2442 t=601s status=OPTIMAL obj_int=11959127
[r4450] best=72204.2930 gains=0 vars~2485 t=603s status=OPTIMAL obj_int=11907824
[r4460] best=72204.2930 gains=0 vars~2409 t=604s status=OPTIMAL obj_int=11964572
[r4470] best=72204.2930 gains=0 vars~2394 t=605s status=OPTIMAL obj_int=11813269
[r4480] best=72204.2930 gains=0 vars~2431 t=606s status=OPTIMAL obj_int=11940862
[r4490] best=72204.2930 gains=0 vars~2420 t=608s status=OPTIMAL obj_int=11891810
[r4500] best=72204.2930 gains=0 vars~2510 t=609s status=OPTIMAL obj_int=11841735
[r4510] best=72204.2930 gains=0 vars~2467 t=610s status=OPTIMAL obj_int=11840252
[r4520] best=72204.2930 gains=0 vars~2439 t=611s status=OPTIMAL obj_int=11896741
[r4530] best=72204.2930 gains=0 vars~2415 t=613s status=OPTIMAL obj_int=11843339
[r4540] best=72204.2930 gains=0 vars~2450 t=614s status=OPTIMAL obj_int=11932773
[r4550] best=72204.2930 gains=0 vars~2487 t=615s status=OPTIMAL obj_int=11913722
[r4560] best=72204.2930 gains=0 vars~2471 t=616s status=OPTIMAL obj_int=11930121
[r4570] best=72204.2930 gains=0 vars~2460 t=618s status=OPTIMAL obj_int=11824027
[r4580] best=72204.2930 gains=0 vars~2441 t=619s status=OPTIMAL obj_int=11932456
[r4590] best=72204.2930 gains=0 vars~2458 t=620s status=OPTIMAL obj_int=11862280
[r4600] best=72204.2930 gains=0 vars~2441 t=621s status=OPTIMAL obj_int=11849616
[r4610] best=72204.2930 gains=0 vars~2461 t=623s status=OPTIMAL obj_int=11935849
[r4620] best=72204.2930 gains=0 vars~2451 t=624s status=OPTIMAL obj_int=11879426
[r4630] best=72204.2930 gains=0 vars~2389 t=625s status=OPTIMAL obj_int=11951019
[r4640] best=72204.2930 gains=0 vars~2447 t=626s status=OPTIMAL obj_int=11969140
[r4650] best=72204.2930 gains=0 vars~2486 t=628s status=OPTIMAL obj_int=11909069
[r4660] best=72204.2930 gains=0 vars~2450 t=629s status=OPTIMAL obj_int=11778237
[r4670] best=72204.2930 gains=0 vars~2415 t=630s status=OPTIMAL obj_int=11806106
[r4680] best=72204.2930 gains=0 vars~2402 t=631s status=OPTIMAL obj_int=11838517
[r4690] best=72204.2930 gains=0 vars~2450 t=633s status=OPTIMAL obj_int=11781340
[r4700] best=72204.2930 gains=0 vars~2426 t=634s status=OPTIMAL obj_int=11896525
[r4710] best=72204.2930 gains=0 vars~2496 t=635s status=OPTIMAL obj_int=11878848
[r4720] best=72204.2930 gains=0 vars~2477 t=636s status=OPTIMAL obj_int=11824004
[r4730] best=72204.2930 gains=0 vars~2487 t=638s status=OPTIMAL obj_int=12068429
[r4740] best=72204.2930 gains=0 vars~2421 t=639s status=OPTIMAL obj_int=11970428
[r4750] best=72204.2930 gains=0 vars~2462 t=640s status=OPTIMAL obj_int=11854909
[r4760] best=72204.2930 gains=0 vars~2477 t=641s status=OPTIMAL obj_int=11931086
[r4770] best=72204.2930 gains=0 vars~2450 t=643s status=OPTIMAL obj_int=11909259
[r4780] best=72204.2930 gains=0 vars~2403 t=644s status=OPTIMAL obj_int=11829394
[r4790] best=72204.2930 gains=0 vars~2400 t=645s status=OPTIMAL obj_int=11935969
[r4800] best=72204.2930 gains=0 vars~2427 t=646s status=OPTIMAL obj_int=11797285
[r4810] best=72204.2930 gains=0 vars~2470 t=648s status=OPTIMAL obj_int=11783133
[r4820] best=72204.2930 gains=0 vars~2416 t=649s status=OPTIMAL obj_int=11977053
[r4830] best=72204.2930 gains=0 vars~2472 t=650s status=OPTIMAL obj_int=11908537
[r4840] best=72204.2930 gains=0 vars~2394 t=651s status=OPTIMAL obj_int=11933734
[r4850] best=72204.2930 gains=0 vars~2448 t=653s status=OPTIMAL obj_int=12017255
[r4860] best=72204.2930 gains=0 vars~2433 t=654s status=OPTIMAL obj_int=11955282
[r4870] best=72204.2930 gains=0 vars~2440 t=655s status=OPTIMAL obj_int=11905556
[r4880] best=72204.2930 gains=0 vars~2480 t=656s status=OPTIMAL obj_int=11911278
[r4890] best=72204.2930 gains=0 vars~2448 t=658s status=OPTIMAL obj_int=11841203
[r4900] best=72204.2930 gains=0 vars~2463 t=659s status=OPTIMAL obj_int=11739624
[r4910] best=72204.2930 gains=0 vars~2426 t=660s status=OPTIMAL obj_int=11880035
[r4920] best=72204.2930 gains=0 vars~2440 t=661s status=OPTIMAL obj_int=11863895
[r4930] best=72204.2930 gains=0 vars~2389 t=663s status=OPTIMAL obj_int=11917238
[r4940] best=72204.2930 gains=0 vars~2407 t=664s status=OPTIMAL obj_int=11859661
[r4950] best=72204.2930 gains=0 vars~2457 t=665s status=OPTIMAL obj_int=11878897
[r4960] best=72204.2930 gains=0 vars~2451 t=666s status=OPTIMAL obj_int=11740575
[r4970] best=72204.2930 gains=0 vars~2459 t=668s status=OPTIMAL obj_int=11900310
[r4980] best=72204.2930 gains=0 vars~2458 t=669s status=OPTIMAL obj_int=11961054
[r4990] best=72204.2930 gains=0 vars~2446 t=670s status=OPTIMAL obj_int=11799129
[r5000] best=72204.2930 gains=0 vars~2466 t=671s status=OPTIMAL obj_int=11811055
[r5010] best=72204.2930 gains=0 vars~2449 t=673s status=OPTIMAL obj_int=11825521
[r5020] best=72204.2930 gains=0 vars~2429 t=674s status=OPTIMAL obj_int=11876086
[r5030] best=72204.2930 gains=0 vars~2426 t=675s status=OPTIMAL obj_int=11961777
[r5040] best=72204.2930 gains=0 vars~2447 t=677s status=OPTIMAL obj_int=11889357
[r5050] best=72204.2930 gains=0 vars~2478 t=678s status=OPTIMAL obj_int=11909873
[r5060] best=72204.2930 gains=0 vars~2497 t=679s status=OPTIMAL obj_int=11887830
[r5070] best=72204.2930 gains=0 vars~2403 t=680s status=OPTIMAL obj_int=11994667
[r5080] best=72204.2930 gains=0 vars~2456 t=682s status=OPTIMAL obj_int=11954048
[r5090] best=72204.2930 gains=0 vars~2461 t=683s status=OPTIMAL obj_int=11876025
[r5100] best=72204.2930 gains=0 vars~2429 t=684s status=OPTIMAL obj_int=11859005
[r5110] best=72204.2930 gains=0 vars~2445 t=685s status=OPTIMAL obj_int=11847900
[r5120] best=72204.2930 gains=0 vars~2483 t=687s status=OPTIMAL obj_int=11897117
[r5130] best=72204.2930 gains=0 vars~2385 t=688s status=OPTIMAL obj_int=11843857
[r5140] best=72204.2930 gains=0 vars~2431 t=689s status=OPTIMAL obj_int=11885043
[r5150] best=72204.2930 gains=0 vars~2441 t=690s status=OPTIMAL obj_int=12051343
[r5160] best=72204.2930 gains=0 vars~2404 t=692s status=OPTIMAL obj_int=11991512
[r5170] best=72204.2930 gains=0 vars~2447 t=693s status=OPTIMAL obj_int=11954845
[r5180] best=72204.2930 gains=0 vars~2465 t=694s status=OPTIMAL obj_int=11908941
[r5190] best=72204.2930 gains=0 vars~2453 t=695s status=OPTIMAL obj_int=11921750
[r5200] best=72204.2930 gains=0 vars~2472 t=697s status=OPTIMAL obj_int=11923876
[r5210] best=72204.2930 gains=0 vars~2444 t=698s status=OPTIMAL obj_int=11770667
[r5220] best=72204.2930 gains=0 vars~2456 t=699s status=OPTIMAL obj_int=11911806
[r5230] best=72204.2930 gains=0 vars~2453 t=700s status=OPTIMAL obj_int=11911396
[r5240] best=72204.2930 gains=0 vars~2403 t=702s status=OPTIMAL obj_int=11858525
[r5250] best=72204.2930 gains=0 vars~2382 t=703s status=OPTIMAL obj_int=11963428
[r5260] best=72204.2930 gains=0 vars~2444 t=704s status=OPTIMAL obj_int=11884428
[r5270] best=72204.2930 gains=0 vars~2434 t=705s status=OPTIMAL obj_int=11882717
[r5280] best=72204.2930 gains=0 vars~2447 t=707s status=OPTIMAL obj_int=11795998
[r5290] best=72204.2930 gains=0 vars~2480 t=708s status=OPTIMAL obj_int=11959630
[r5300] best=72204.2930 gains=0 vars~2420 t=709s status=OPTIMAL obj_int=11833307
[r5310] best=72204.2930 gains=0 vars~2446 t=710s status=OPTIMAL obj_int=11769014
[r5320] best=72204.2930 gains=0 vars~2435 t=712s status=OPTIMAL obj_int=11854443
[r5330] best=72204.2930 gains=0 vars~2419 t=713s status=OPTIMAL obj_int=11845439
[r5340] best=72204.2930 gains=0 vars~2469 t=714s status=OPTIMAL obj_int=11866961
[r5350] best=72204.2930 gains=0 vars~2492 t=715s status=OPTIMAL obj_int=11959981
[r5360] best=72204.2930 gains=0 vars~2426 t=717s status=OPTIMAL obj_int=11857951
[r5370] best=72204.2930 gains=0 vars~2471 t=718s status=OPTIMAL obj_int=11924465
[r5380] best=72204.2930 gains=0 vars~2409 t=719s status=OPTIMAL obj_int=11910866
[r5390] best=72204.2930 gains=0 vars~2456 t=721s status=OPTIMAL obj_int=11865351
[r5400] best=72204.2930 gains=0 vars~2495 t=722s status=OPTIMAL obj_int=11879707
[r5410] best=72204.2930 gains=0 vars~2478 t=723s status=OPTIMAL obj_int=11870541
[r5420] best=72204.2930 gains=0 vars~2457 t=724s status=OPTIMAL obj_int=11888899
[r5430] best=72204.2930 gains=0 vars~2395 t=725s status=OPTIMAL obj_int=11920618
[r5440] best=72204.2930 gains=0 vars~2421 t=727s status=OPTIMAL obj_int=11899701
[r5450] best=72204.2930 gains=0 vars~2423 t=728s status=OPTIMAL obj_int=11852897
[r5460] best=72204.2930 gains=0 vars~2417 t=729s status=OPTIMAL obj_int=11874056
[r5470] best=72204.2930 gains=0 vars~2447 t=730s status=OPTIMAL obj_int=11931805
[r5480] best=72204.2930 gains=0 vars~2399 t=732s status=OPTIMAL obj_int=11851898
[r5490] best=72204.2930 gains=0 vars~2417 t=733s status=OPTIMAL obj_int=11832918
[r5500] best=72204.2930 gains=0 vars~2439 t=734s status=OPTIMAL obj_int=11870833
[r5510] best=72204.2930 gains=0 vars~2405 t=736s status=OPTIMAL obj_int=11863969
[r5520] best=72204.2930 gains=0 vars~2467 t=737s status=OPTIMAL obj_int=11788341
[r5530] best=72204.2930 gains=0 vars~2439 t=738s status=OPTIMAL obj_int=11846773
[r5540] best=72204.2930 gains=0 vars~2409 t=739s status=OPTIMAL obj_int=11802132
[r5550] best=72204.2930 gains=0 vars~2489 t=741s status=OPTIMAL obj_int=11896816
[r5560] best=72204.2930 gains=0 vars~2501 t=742s status=OPTIMAL obj_int=11859862
[r5570] best=72204.2930 gains=0 vars~2503 t=743s status=OPTIMAL obj_int=11893181
[r5580] best=72204.2930 gains=0 vars~2410 t=744s status=OPTIMAL obj_int=11922630
[r5590] best=72204.2930 gains=0 vars~2416 t=746s status=OPTIMAL obj_int=11874562
[r5600] best=72204.2930 gains=0 vars~2474 t=747s status=OPTIMAL obj_int=11917750
[r5610] best=72204.2930 gains=0 vars~2441 t=748s status=OPTIMAL obj_int=11937562
[r5620] best=72204.2930 gains=0 vars~2409 t=749s status=OPTIMAL obj_int=11891988
[r5630] best=72204.2930 gains=0 vars~2414 t=751s status=OPTIMAL obj_int=12023861
[r5640] best=72204.2930 gains=0 vars~2475 t=752s status=OPTIMAL obj_int=11779352
[r5650] best=72204.2930 gains=0 vars~2457 t=753s status=OPTIMAL obj_int=11814572
[r5660] best=72204.2930 gains=0 vars~2465 t=754s status=OPTIMAL obj_int=11902806
[r5670] best=72204.2930 gains=0 vars~2490 t=756s status=OPTIMAL obj_int=11850209
[r5680] best=72204.2930 gains=0 vars~2449 t=757s status=OPTIMAL obj_int=11886436
[r5690] best=72204.2930 gains=0 vars~2432 t=758s status=OPTIMAL obj_int=11818611
[r5700] best=72204.2930 gains=0 vars~2454 t=759s status=OPTIMAL obj_int=11831326
[r5710] best=72204.2930 gains=0 vars~2405 t=761s status=OPTIMAL obj_int=11876114
[r5720] best=72204.2930 gains=0 vars~2432 t=762s status=OPTIMAL obj_int=11839065
[r5730] best=72204.2930 gains=0 vars~2480 t=763s status=OPTIMAL obj_int=11843680
[r5740] best=72204.2930 gains=0 vars~2453 t=764s status=OPTIMAL obj_int=11788030
[r5750] best=72204.2930 gains=0 vars~2422 t=766s status=OPTIMAL obj_int=11927427
[r5760] best=72204.2930 gains=0 vars~2436 t=767s status=OPTIMAL obj_int=11848290
[r5770] best=72204.2930 gains=0 vars~2412 t=768s status=OPTIMAL obj_int=11863859
[r5780] best=72204.2930 gains=0 vars~2443 t=770s status=OPTIMAL obj_int=12023316
[r5790] best=72204.2930 gains=0 vars~2394 t=771s status=OPTIMAL obj_int=11975531
[r5800] best=72204.2930 gains=0 vars~2433 t=772s status=OPTIMAL obj_int=11854114
[r5810] best=72204.2930 gains=0 vars~2427 t=773s status=OPTIMAL obj_int=11910718
[r5820] best=72204.2930 gains=0 vars~2468 t=774s status=OPTIMAL obj_int=11921718
[r5830] best=72204.2930 gains=0 vars~2438 t=776s status=OPTIMAL obj_int=11875347
[r5840] best=72204.2930 gains=0 vars~2454 t=777s status=OPTIMAL obj_int=11900246
[r5850] best=72204.2930 gains=0 vars~2449 t=778s status=OPTIMAL obj_int=11951585
[r5860] best=72204.2930 gains=0 vars~2431 t=779s status=OPTIMAL obj_int=11806154
[r5870] best=72204.2930 gains=0 vars~2435 t=781s status=OPTIMAL obj_int=11878025
[r5880] best=72204.2930 gains=0 vars~2439 t=782s status=OPTIMAL obj_int=11811224
[r5890] best=72204.2930 gains=0 vars~2479 t=783s status=OPTIMAL obj_int=11849036
[r5900] best=72204.2930 gains=0 vars~2418 t=785s status=OPTIMAL obj_int=11890007
[r5910] best=72204.2930 gains=0 vars~2422 t=786s status=OPTIMAL obj_int=11820222
[r5920] best=72204.2930 gains=0 vars~2468 t=787s status=OPTIMAL obj_int=11905665
[r5930] best=72204.2930 gains=0 vars~2463 t=788s status=OPTIMAL obj_int=11928028
[r5940] best=72204.2930 gains=0 vars~2457 t=790s status=OPTIMAL obj_int=12009693
[r5950] best=72204.2930 gains=0 vars~2405 t=791s status=OPTIMAL obj_int=11889985
[r5960] best=72204.2930 gains=0 vars~2415 t=792s status=OPTIMAL obj_int=11896570
[r5970] best=72204.2930 gains=0 vars~2469 t=793s status=OPTIMAL obj_int=11823688
[r5980] best=72204.2930 gains=0 vars~2450 t=795s status=OPTIMAL obj_int=11914431
[r5990] best=72204.2930 gains=0 vars~2432 t=796s status=OPTIMAL obj_int=12062882
[r6000] best=72204.2930 gains=0 vars~2460 t=797s status=OPTIMAL obj_int=11827848
[r6010] best=72204.2930 gains=0 vars~2438 t=798s status=OPTIMAL obj_int=11786009
[r6020] best=72204.2930 gains=0 vars~2450 t=800s status=OPTIMAL obj_int=11819415
[r6030] best=72204.2930 gains=0 vars~2405 t=801s status=OPTIMAL obj_int=11892620
[r6040] best=72204.2930 gains=0 vars~2419 t=802s status=OPTIMAL obj_int=11885869
