[i] n=25000 bank=33338.1840 sel=4465 k_free=400 block_time=45.0s seed=31
[r8770] best=33338.1840 gains=0 vars~533 t=245s status=OPTIMAL obj_int=2997123
[r8780] best=33338.1840 gains=0 vars~497 t=245s status=OPTIMAL obj_int=2933059
[r8790] best=33338.1840 gains=0 vars~528 t=245s status=OPTIMAL obj_int=2985902
[r8800] best=33338.1840 gains=0 vars~521 t=246s status=OPTIMAL obj_int=2970095
[r8810] best=33338.1840 gains=0 vars~509 t=246s status=OPTIMAL obj_int=2953015
[r8820] best=33338.1840 gains=0 vars~537 t=246s status=OPTIMAL obj_int=3017326
[r8830] best=33338.1840 gains=0 vars~517 t=246s status=OPTIMAL obj_int=3076729
[r8840] best=33338.1840 gains=0 vars~559 t=247s status=OPTIMAL obj_int=2938212
[r8850] best=33338.1840 gains=0 vars~520 t=247s status=OPTIMAL obj_int=3056918
[r8860] best=33338.1840 gains=0 vars~515 t=247s status=OPTIMAL obj_int=2966957
[r8870] best=33338.1840 gains=0 vars~524 t=247s status=OPTIMAL obj_int=2973880
[r8880] best=33338.1840 gains=0 vars~526 t=248s status=OPTIMAL obj_int=2982736
[r8890] best=33338.1840 gains=0 vars~531 t=248s status=OPTIMAL obj_int=2972773
[r8900] best=33338.1840 gains=0 vars~525 t=248s status=OPTIMAL obj_int=2996687
[r8910] best=33338.1840 gains=0 vars~523 t=248s status=OPTIMAL obj_int=2984042
[r8920] best=33338.1840 gains=0 vars~524 t=249s status=OPTIMAL obj_int=3019572
[r8930] best=33338.1840 gains=0 vars~536 t=249s status=OPTIMAL obj_int=2975815
[r8940] best=33338.1840 gains=0 vars~541 t=249s status=OPTIMAL obj_int=3017444
[r8950] best=33338.1840 gains=0 vars~522 t=249s status=OPTIMAL obj_int=3041777
[r8960] best=33338.1840 gains=0 vars~515 t=250s status=OPTIMAL obj_int=2928013
[r8970] best=33338.1840 gains=0 vars~527 t=250s status=OPTIMAL obj_int=2953308
[r8980] best=33338.1840 gains=0 vars~545 t=250s status=OPTIMAL obj_int=3020060
[r8990] best=33338.1840 gains=0 vars~531 t=250s status=OPTIMAL obj_int=2988664
[r9000] best=33338.1840 gains=0 vars~528 t=250s status=OPTIMAL obj_int=3032956
[r9010] best=33338.1840 gains=0 vars~509 t=251s status=OPTIMAL obj_int=2956563
[r9020] best=33338.1840 gains=0 vars~524 t=251s status=OPTIMAL obj_int=2956340
[r9030] best=33338.1840 gains=0 vars~527 t=251s status=OPTIMAL obj_int=2971029
[r9040] best=33338.1840 gains=0 vars~543 t=251s status=OPTIMAL obj_int=2893925
[r9050] best=33338.1840 gains=0 vars~530 t=252s status=OPTIMAL obj_int=3075607
[r9060] best=33338.1840 gains=0 vars~527 t=252s status=OPTIMAL obj_int=2970159
[r9070] best=33338.1840 gains=0 vars~523 t=252s status=OPTIMAL obj_int=3026154
[r9080] best=33338.1840 gains=0 vars~512 t=252s status=OPTIMAL obj_int=2947650
[r9090] best=33338.1840 gains=0 vars~542 t=253s status=OPTIMAL obj_int=2996975
[r9100] best=33338.1840 gains=0 vars~531 t=253s status=OPTIMAL obj_int=2921393
[r9110] best=33338.1840 gains=0 vars~538 t=253s status=OPTIMAL obj_int=3003650
[r9120] best=33338.1840 gains=0 vars~521 t=253s status=OPTIMAL obj_int=3026377
[r9130] best=33338.1840 gains=0 vars~522 t=254s status=OPTIMAL obj_int=2967044
[r9140] best=33338.1840 gains=0 vars~514 t=254s status=OPTIMAL obj_int=3083552
[r9150] best=33338.1840 gains=0 vars~520 t=254s status=OPTIMAL obj_int=2972283
[r9160] best=33338.1840 gains=0 vars~531 t=254s status=OPTIMAL obj_int=2924499
[r9170] best=33338.1840 gains=0 vars~531 t=255s status=OPTIMAL obj_int=3019239
[r9180] best=33338.1840 gains=0 vars~524 t=255s status=OPTIMAL obj_int=3038994
[r9190] best=33338.1840 gains=0 vars~539 t=255s status=OPTIMAL obj_int=3023787
[r9200] best=33338.1840 gains=0 vars~530 t=255s status=OPTIMAL obj_int=3052806
[r9210] best=33338.1840 gains=0 vars~525 t=256s status=OPTIMAL obj_int=3031930
[r9220] best=33338.1840 gains=0 vars~545 t=256s status=OPTIMAL obj_int=3028073
[r9230] best=33338.1840 gains=0 vars~535 t=256s status=OPTIMAL obj_int=2997025
[r9240] best=33338.1840 gains=0 vars~524 t=256s status=OPTIMAL obj_int=2984503
[r9250] best=33338.1840 gains=0 vars~507 t=257s status=OPTIMAL obj_int=3017147
[r9260] best=33338.1840 gains=0 vars~535 t=257s status=OPTIMAL obj_int=2991143
[r9270] best=33338.1840 gains=0 vars~529 t=257s status=OPTIMAL obj_int=3050636
[r9280] best=33338.1840 gains=0 vars~524 t=257s status=OPTIMAL obj_int=2933458
[r9290] best=33338.1840 gains=0 vars~519 t=258s status=OPTIMAL obj_int=3000078
[r9300] best=33338.1840 gains=0 vars~529 t=258s status=OPTIMAL obj_int=2978579
[r9310] best=33338.1840 gains=0 vars~522 t=258s status=OPTIMAL obj_int=3019846
[r9320] best=33338.1840 gains=0 vars~529 t=258s status=OPTIMAL obj_int=3036787
[r9330] best=33338.1840 gains=0 vars~509 t=259s status=OPTIMAL obj_int=2998786
[r9340] best=33338.1840 gains=0 vars~517 t=259s status=OPTIMAL obj_int=3013572
[r9350] best=33338.1840 gains=0 vars~543 t=259s status=OPTIMAL obj_int=3032534
[r9360] best=33338.1840 gains=0 vars~522 t=259s status=OPTIMAL obj_int=3038313
[r9370] best=33338.1840 gains=0 vars~515 t=260s status=OPTIMAL obj_int=2982559
[r9380] best=33338.1840 gains=0 vars~531 t=260s status=OPTIMAL obj_int=3010732
[r9390] best=33338.1840 gains=0 vars~529 t=260s status=OPTIMAL obj_int=2984380
[r9400] best=33338.1840 gains=0 vars~520 t=260s status=OPTIMAL obj_int=2830899
[r9410] best=33338.1840 gains=0 vars~532 t=260s status=OPTIMAL obj_int=2982710
[r9420] best=33338.1840 gains=0 vars~543 t=261s status=OPTIMAL obj_int=3002220
[r9430] best=33338.1840 gains=0 vars~545 t=261s status=OPTIMAL obj_int=3052222
[r9440] best=33338.1840 gains=0 vars~526 t=261s status=OPTIMAL obj_int=2941276
[r9450] best=33338.1840 gains=0 vars~531 t=261s status=OPTIMAL obj_int=2987833
[r9460] best=33338.1840 gains=0 vars~507 t=262s status=OPTIMAL obj_int=2977195
[r9470] best=33338.1840 gains=0 vars~539 t=262s status=OPTIMAL obj_int=3039434
[r9480] best=33338.1840 gains=0 vars~531 t=262s status=OPTIMAL obj_int=3011897
[r9490] best=33338.1840 gains=0 vars~535 t=262s status=OPTIMAL obj_int=3033543
[r9500] best=33338.1840 gains=0 vars~538 t=263s status=OPTIMAL obj_int=2986521
[r9510] best=33338.1840 gains=0 vars~512 t=263s status=OPTIMAL obj_int=2992051
[r9520] best=33338.1840 gains=0 vars~530 t=263s status=OPTIMAL obj_int=3019784
[r9530] best=33338.1840 gains=0 vars~529 t=263s status=OPTIMAL obj_int=2964829
[r9540] best=33338.1840 gains=0 vars~528 t=264s status=OPTIMAL obj_int=3013676
[r9550] best=33338.1840 gains=0 vars~532 t=264s status=OPTIMAL obj_int=2998611
[r9560] best=33338.1840 gains=0 vars~532 t=264s status=OPTIMAL obj_int=2944871
[r9570] best=33338.1840 gains=0 vars~533 t=264s status=OPTIMAL obj_int=2971556
[r9580] best=33338.1840 gains=0 vars~528 t=265s status=OPTIMAL obj_int=3010832
[r9590] best=33338.1840 gains=0 vars~515 t=265s status=OPTIMAL obj_int=3000404
[r9600] best=33338.1840 gains=0 vars~538 t=265s status=OPTIMAL obj_int=2978753
[r9610] best=33338.1840 gains=0 vars~515 t=265s status=OPTIMAL obj_int=2982037
[r9620] best=33338.1840 gains=0 vars~525 t=266s status=OPTIMAL obj_int=3017010
[r9630] best=33338.1840 gains=0 vars~516 t=266s status=OPTIMAL obj_int=3053169
[r9640] best=33338.1840 gains=0 vars~521 t=266s status=OPTIMAL obj_int=2915781
[r9650] best=33338.1840 gains=0 vars~520 t=266s status=OPTIMAL obj_int=2970199
[r9660] best=33338.1840 gains=0 vars~530 t=267s status=OPTIMAL obj_int=2970783
[r9670] best=33338.1840 gains=0 vars~535 t=267s status=OPTIMAL obj_int=2973059
[r9680] best=33338.1840 gains=0 vars~524 t=267s status=OPTIMAL obj_int=2945108
[r9690] best=33338.1840 gains=0 vars~525 t=267s status=OPTIMAL obj_int=3021132
[r9700] best=33338.1840 gains=0 vars~534 t=268s status=OPTIMAL obj_int=2979373
[r9710] best=33338.1840 gains=0 vars~533 t=268s status=OPTIMAL obj_int=3004911
[r9720] best=33338.1840 gains=0 vars~534 t=268s status=OPTIMAL obj_int=2934564
[r9730] best=33338.1840 gains=0 vars~529 t=268s status=OPTIMAL obj_int=3045887
[r9740] best=33338.1840 gains=0 vars~526 t=269s status=OPTIMAL obj_int=2973693
[r9750] best=33338.1840 gains=0 vars~538 t=269s status=OPTIMAL obj_int=3014896
[r9760] best=33338.1840 gains=0 vars~530 t=269s status=OPTIMAL obj_int=2999422
[r9770] best=33338.1840 gains=0 vars~517 t=269s status=OPTIMAL obj_int=2918455
[r9780] best=33338.1840 gains=0 vars~514 t=270s status=OPTIMAL obj_int=2949466
[r9790] best=33338.1840 gains=0 vars~529 t=270s status=OPTIMAL obj_int=3035330
[r9800] best=33338.1840 gains=0 vars~537 t=270s status=OPTIMAL obj_int=3000640
[r9810] best=33338.1840 gains=0 vars~516 t=270s status=OPTIMAL obj_int=2991541
[r9820] best=33338.1840 gains=0 vars~524 t=271s status=OPTIMAL obj_int=3031237
[r9830] best=33338.1840 gains=0 vars~516 t=271s status=OPTIMAL obj_int=3030188
[r9840] best=33338.1840 gains=0 vars~535 t=271s status=OPTIMAL obj_int=3026850
[r9850] best=33338.1840 gains=0 vars~529 t=271s status=OPTIMAL obj_int=2974011
[r9860] best=33338.1840 gains=0 vars~540 t=272s status=OPTIMAL obj_int=2991155
[r9870] best=33338.1840 gains=0 vars~521 t=272s status=OPTIMAL obj_int=2965909
[r9880] best=33338.1840 gains=0 vars~515 t=272s status=OPTIMAL obj_int=2938201
[r9890] best=33338.1840 gains=0 vars~526 t=272s status=OPTIMAL obj_int=2946507
[r9900] best=33338.1840 gains=0 vars~516 t=273s status=OPTIMAL obj_int=3000389
[r9910] best=33338.1840 gains=0 vars~518 t=273s status=OPTIMAL obj_int=2998184
[r9920] best=33338.1840 gains=0 vars~512 t=273s status=OPTIMAL obj_int=2999668
[r9930] best=33338.1840 gains=0 vars~547 t=273s status=OPTIMAL obj_int=3029082
[r9940] best=33338.1840 gains=0 vars~529 t=274s status=OPTIMAL obj_int=3055793
[r9950] best=33338.1840 gains=0 vars~526 t=274s status=OPTIMAL obj_int=2991816
[r9960] best=33338.1840 gains=0 vars~518 t=274s status=OPTIMAL obj_int=2952917
[r9970] best=33338.1840 gains=0 vars~529 t=274s status=OPTIMAL obj_int=2952032
[r9980] best=33338.1840 gains=0 vars~520 t=275s status=OPTIMAL obj_int=3039769
[r9990] best=33338.1840 gains=0 vars~537 t=275s status=OPTIMAL obj_int=2976617
[r10000] best=33338.1840 gains=0 vars~521 t=275s status=OPTIMAL obj_int=2997202
[r10010] best=33338.1840 gains=0 vars~540 t=275s status=OPTIMAL obj_int=2999372
[r10020] best=33338.1840 gains=0 vars~531 t=275s status=OPTIMAL obj_int=2979905
[r10030] best=33338.1840 gains=0 vars~544 t=276s status=OPTIMAL obj_int=3020046
[r10040] best=33338.1840 gains=0 vars~513 t=276s status=OPTIMAL obj_int=3004095
[r10050] best=33338.1840 gains=0 vars~522 t=276s status=OPTIMAL obj_int=2935293
[r10060] best=33338.1840 gains=0 vars~528 t=276s status=OPTIMAL obj_int=3003752
[r10070] best=33338.1840 gains=0 vars~520 t=277s status=OPTIMAL obj_int=2950423
[r10080] best=33338.1840 gains=0 vars~518 t=277s status=OPTIMAL obj_int=3013386
[r10090] best=33338.1840 gains=0 vars~521 t=277s status=OPTIMAL obj_int=3049374
[r10100] best=33338.1840 gains=0 vars~515 t=277s status=OPTIMAL obj_int=3015827
[r10110] best=33338.1840 gains=0 vars~548 t=278s status=OPTIMAL obj_int=3014771
[r10120] best=33338.1840 gains=0 vars~502 t=278s status=OPTIMAL obj_int=2991805
[r10130] best=33338.1840 gains=0 vars~524 t=278s status=OPTIMAL obj_int=2998224
[r10140] best=33338.1840 gains=0 vars~524 t=278s status=OPTIMAL obj_int=2977295
[r10150] best=33338.1840 gains=0 vars~527 t=279s status=OPTIMAL obj_int=2958429
[r10160] best=33338.1840 gains=0 vars~535 t=279s status=OPTIMAL obj_int=2974770
[r10170] best=33338.1840 gains=0 vars~536 t=279s status=OPTIMAL obj_int=3008788
[r10180] best=33338.1840 gains=0 vars~550 t=279s status=OPTIMAL obj_int=3007836
[r10190] best=33338.1840 gains=0 vars~538 t=280s status=OPTIMAL obj_int=3053555
[r10200] best=33338.1840 gains=0 vars~529 t=280s status=OPTIMAL obj_int=2972978
[r10210] best=33338.1840 gains=0 vars~531 t=280s status=OPTIMAL obj_int=2997744
[r10220] best=33338.1840 gains=0 vars~533 t=280s status=OPTIMAL obj_int=3013274
[r10230] best=33338.1840 gains=0 vars~548 t=281s status=OPTIMAL obj_int=2972787
[r10240] best=33338.1840 gains=0 vars~530 t=281s status=OPTIMAL obj_int=3001538
[r10250] best=33338.1840 gains=0 vars~503 t=281s status=OPTIMAL obj_int=2995247
[r10260] best=33338.1840 gains=0 vars~507 t=281s status=OPTIMAL obj_int=3073371
[r10270] best=33338.1840 gains=0 vars~529 t=281s status=OPTIMAL obj_int=2983293
[r10280] best=33338.1840 gains=0 vars~521 t=282s status=OPTIMAL obj_int=2973036
[r10290] best=33338.1840 gains=0 vars~526 t=282s status=OPTIMAL obj_int=2939932
[r10300] best=33338.1840 gains=0 vars~527 t=282s status=OPTIMAL obj_int=2963231
[r10310] best=33338.1840 gains=0 vars~533 t=282s status=OPTIMAL obj_int=2976787
[r10320] best=33338.1840 gains=0 vars~541 t=283s status=OPTIMAL obj_int=3016325
[r10330] best=33338.1840 gains=0 vars~510 t=283s status=OPTIMAL obj_int=2988097
[r10340] best=33338.1840 gains=0 vars~546 t=283s status=OPTIMAL obj_int=2976132
[r10350] best=33338.1840 gains=0 vars~525 t=283s status=OPTIMAL obj_int=2972774
[r10360] best=33338.1840 gains=0 vars~523 t=284s status=OPTIMAL obj_int=2920328
[r10370] best=33338.1840 gains=0 vars~527 t=284s status=OPTIMAL obj_int=3059035
[r10380] best=33338.1840 gains=0 vars~520 t=284s status=OPTIMAL obj_int=2959972
[r10390] best=33338.1840 gains=0 vars~538 t=284s status=OPTIMAL obj_int=3010198
[r10400] best=33338.1840 gains=0 vars~537 t=285s status=OPTIMAL obj_int=2981086
[r10410] best=33338.1840 gains=0 vars~527 t=285s status=OPTIMAL obj_int=3015895
[r10420] best=33338.1840 gains=0 vars~523 t=285s status=OPTIMAL obj_int=3004413
[r10430] best=33338.1840 gains=0 vars~523 t=285s status=OPTIMAL obj_int=3023164
[r10440] best=33338.1840 gains=0 vars~541 t=286s status=OPTIMAL obj_int=3052070
[r10450] best=33338.1840 gains=0 vars~508 t=286s status=OPTIMAL obj_int=2934768
[r10460] best=33338.1840 gains=0 vars~520 t=286s status=OPTIMAL obj_int=3062338
[r10470] best=33338.1840 gains=0 vars~521 t=286s status=OPTIMAL obj_int=2940867
[r10480] best=33338.1840 gains=0 vars~532 t=287s status=OPTIMAL obj_int=2943162
[r10490] best=33338.1840 gains=0 vars~540 t=287s status=OPTIMAL obj_int=3079071
[r10500] best=33338.1840 gains=0 vars~506 t=287s status=OPTIMAL obj_int=3026133
[r10510] best=33338.1840 gains=0 vars~523 t=287s status=OPTIMAL obj_int=2995976
[r10520] best=33338.1840 gains=0 vars~523 t=288s status=OPTIMAL obj_int=2999103
[r10530] best=33338.1840 gains=0 vars~509 t=288s status=OPTIMAL obj_int=3037881
[r10540] best=33338.1840 gains=0 vars~519 t=288s status=OPTIMAL obj_int=2948436
[r10550] best=33338.1840 gains=0 vars~518 t=288s status=OPTIMAL obj_int=2995887
[r10560] best=33338.1840 gains=0 vars~531 t=289s status=OPTIMAL obj_int=2974631
[r10570] best=33338.1840 gains=0 vars~533 t=289s status=OPTIMAL obj_int=2983170
[r10580] best=33338.1840 gains=0 vars~542 t=289s status=OPTIMAL obj_int=2952622
[r10590] best=33338.1840 gains=0 vars~524 t=289s status=OPTIMAL obj_int=3014654
[r10600] best=33338.1840 gains=0 vars~525 t=290s status=OPTIMAL obj_int=3042452
[r10610] best=33338.1840 gains=0 vars~519 t=290s status=OPTIMAL obj_int=3004173
[r10620] best=33338.1840 gains=0 vars~528 t=290s status=OPTIMAL obj_int=2997598
[r10630] best=33338.1840 gains=0 vars~522 t=290s status=OPTIMAL obj_int=2995815
[r10640] best=33338.1840 gains=0 vars~537 t=290s status=OPTIMAL obj_int=2981926
[r10650] best=33338.1840 gains=0 vars~524 t=291s status=OPTIMAL obj_int=2992585
[r10660] best=33338.1840 gains=0 vars~541 t=291s status=OPTIMAL obj_int=2999742
[r10670] best=33338.1840 gains=0 vars~529 t=291s status=OPTIMAL obj_int=2981007
[r10680] best=33338.1840 gains=0 vars~525 t=292s status=OPTIMAL obj_int=3042185
[r10690] best=33338.1840 gains=0 vars~538 t=292s status=OPTIMAL obj_int=2939266
[r10700] best=33338.1840 gains=0 vars~532 t=292s status=OPTIMAL obj_int=3005921
[r10710] best=33338.1840 gains=0 vars~529 t=292s status=OPTIMAL obj_int=2998448
[r10720] best=33338.1840 gains=0 vars~534 t=293s status=OPTIMAL obj_int=3022530
[r10730] best=33338.1840 gains=0 vars~517 t=293s status=OPTIMAL obj_int=2932166
[r10740] best=33338.1840 gains=0 vars~533 t=293s status=OPTIMAL obj_int=2953185
[r10750] best=33338.1840 gains=0 vars~522 t=293s status=OPTIMAL obj_int=3000171
[r10760] best=33338.1840 gains=0 vars~537 t=294s status=OPTIMAL obj_int=2988800
[r10770] best=33338.1840 gains=0 vars~515 t=294s status=OPTIMAL obj_int=2926260
[r10780] best=33338.1840 gains=0 vars~524 t=294s status=OPTIMAL obj_int=2977290
[r10790] best=33338.1840 gains=0 vars~511 t=294s status=OPTIMAL obj_int=2959653
[r10800] best=33338.1840 gains=0 vars~523 t=295s status=OPTIMAL obj_int=2976850
[r10810] best=33338.1840 gains=0 vars~531 t=295s status=OPTIMAL obj_int=3014999
[r10820] best=33338.1840 gains=0 vars~537 t=295s status=OPTIMAL obj_int=2986131
[r10830] best=33338.1840 gains=0 vars~514 t=295s status=OPTIMAL obj_int=3045448
[r10840] best=33338.1840 gains=0 vars~531 t=296s status=OPTIMAL obj_int=2968563
[r10850] best=33338.1840 gains=0 vars~516 t=296s status=OPTIMAL obj_int=2983221
[r10860] best=33338.1840 gains=0 vars~513 t=296s status=OPTIMAL obj_int=3001479
[r10870] best=33338.1840 gains=0 vars~526 t=296s status=OPTIMAL obj_int=2943620
[r10880] best=33338.1840 gains=0 vars~522 t=297s status=OPTIMAL obj_int=3015961
[r10890] best=33338.1840 gains=0 vars~537 t=297s status=OPTIMAL obj_int=2984055
[r10900] best=33338.1840 gains=0 vars~512 t=297s status=OPTIMAL obj_int=2919113
[r10910] best=33338.1840 gains=0 vars~539 t=297s status=OPTIMAL obj_int=2998017
[r10920] best=33338.1840 gains=0 vars~538 t=298s status=OPTIMAL obj_int=2992509
[r10930] best=33338.1840 gains=0 vars~526 t=298s status=OPTIMAL obj_int=3004726
[r10940] best=33338.1840 gains=0 vars~537 t=298s status=OPTIMAL obj_int=2933140
[r10950] best=33338.1840 gains=0 vars~526 t=298s status=OPTIMAL obj_int=2970967
[r10960] best=33338.1840 gains=0 vars~544 t=299s status=OPTIMAL obj_int=3003421
[r10970] best=33338.1840 gains=0 vars~540 t=299s status=OPTIMAL obj_int=2925209
[r10980] best=33338.1840 gains=0 vars~528 t=299s status=OPTIMAL obj_int=2992217
[r10990] best=33338.1840 gains=0 vars~531 t=299s status=OPTIMAL obj_int=2990192
[r11000] best=33338.1840 gains=0 vars~529 t=300s status=OPTIMAL obj_int=2968162
[r11010] best=33338.1840 gains=0 vars~529 t=300s status=OPTIMAL obj_int=2982648
[r11020] best=33338.1840 gains=0 vars~521 t=300s status=OPTIMAL obj_int=2974527
[r11030] best=33338.1840 gains=0 vars~514 t=300s status=OPTIMAL obj_int=3029318
[r11040] best=33338.1840 gains=0 vars~544 t=301s status=OPTIMAL obj_int=2987288
[r11050] best=33338.1840 gains=0 vars~543 t=301s status=OPTIMAL obj_int=2961621
[r11060] best=33338.1840 gains=0 vars~535 t=301s status=OPTIMAL obj_int=2866794
[r11070] best=33338.1840 gains=0 vars~527 t=301s status=OPTIMAL obj_int=2992337
[r11080] best=33338.1840 gains=0 vars~525 t=302s status=OPTIMAL obj_int=3003557
[r11090] best=33338.1840 gains=0 vars~526 t=302s status=OPTIMAL obj_int=2936243
[r11100] best=33338.1840 gains=0 vars~548 t=302s status=OPTIMAL obj_int=2987200
[r11110] best=33338.1840 gains=0 vars~542 t=302s status=OPTIMAL obj_int=3002865
[r11120] best=33338.1840 gains=0 vars~539 t=303s status=OPTIMAL obj_int=2937139
[r11130] best=33338.1840 gains=0 vars~533 t=303s status=OPTIMAL obj_int=2958041
[r11140] best=33338.1840 gains=0 vars~540 t=303s status=OPTIMAL obj_int=2947933
[r11150] best=33338.1840 gains=0 vars~516 t=303s status=OPTIMAL obj_int=3009026
[r11160] best=33338.1840 gains=0 vars~547 t=304s status=OPTIMAL obj_int=2989332
[r11170] best=33338.1840 gains=0 vars~518 t=304s status=OPTIMAL obj_int=3000787
[r11180] best=33338.1840 gains=0 vars~545 t=304s status=OPTIMAL obj_int=3028848
[r11190] best=33338.1840 gains=0 vars~536 t=304s status=OPTIMAL obj_int=2946024
[r11200] best=33338.1840 gains=0 vars~521 t=305s status=OPTIMAL obj_int=2975901
[r11210] best=33338.1840 gains=0 vars~538 t=305s status=OPTIMAL obj_int=2987208
[r11220] best=33338.1840 gains=0 vars~529 t=305s status=OPTIMAL obj_int=3032059
[r11230] best=33338.1840 gains=0 vars~515 t=305s status=OPTIMAL obj_int=2964674
[r11240] best=33338.1840 gains=0 vars~525 t=306s status=OPTIMAL obj_int=2815972
[r11250] best=33338.1840 gains=0 vars~513 t=306s status=OPTIMAL obj_int=3048020
[r11260] best=33338.1840 gains=0 vars~518 t=306s status=OPTIMAL obj_int=2976611
[r11270] best=33338.1840 gains=0 vars~515 t=306s status=OPTIMAL obj_int=2971891
[r11280] best=33338.1840 gains=0 vars~518 t=307s status=OPTIMAL obj_int=3018651
[r11290] best=33338.1840 gains=0 vars~524 t=307s status=OPTIMAL obj_int=3012533
[r11300] best=33338.1840 gains=0 vars~536 t=307s status=OPTIMAL obj_int=2939558
[r11310] best=33338.1840 gains=0 vars~533 t=307s status=OPTIMAL obj_int=2973883
[r11320] best=33338.1840 gains=0 vars~525 t=308s status=OPTIMAL obj_int=2909962
[r11330] best=33338.1840 gains=0 vars~536 t=308s status=OPTIMAL obj_int=3026518
[r11340] best=33338.1840 gains=0 vars~545 t=308s status=OPTIMAL obj_int=3015284
[r11350] best=33338.1840 gains=0 vars~531 t=308s status=OPTIMAL obj_int=2992401
[r11360] best=33338.1840 gains=0 vars~518 t=309s status=OPTIMAL obj_int=3071358
[r11370] best=33338.1840 gains=0 vars~553 t=309s status=OPTIMAL obj_int=3014095
[r11380] best=33338.1840 gains=0 vars~540 t=309s status=OPTIMAL obj_int=3012894
[r11390] best=33338.1840 gains=0 vars~527 t=309s status=OPTIMAL obj_int=2980356
[r11400] best=33338.1840 gains=0 vars~516 t=310s status=OPTIMAL obj_int=3041473
[r11410] best=33338.1840 gains=0 vars~521 t=310s status=OPTIMAL obj_int=2923671
[r11420] best=33338.1840 gains=0 vars~528 t=310s status=OPTIMAL obj_int=3018899
[r11430] best=33338.1840 gains=0 vars~523 t=310s status=OPTIMAL obj_int=2990692
[r11440] best=33338.1840 gains=0 vars~531 t=310s status=OPTIMAL obj_int=3034640
[r11450] best=33338.1840 gains=0 vars~532 t=311s status=OPTIMAL obj_int=2976206
[r11460] best=33338.1840 gains=0 vars~520 t=311s status=OPTIMAL obj_int=2987400
[r11470] best=33338.1840 gains=0 vars~543 t=311s status=OPTIMAL obj_int=2997145
[r11480] best=33338.1840 gains=0 vars~510 t=311s status=OPTIMAL obj_int=3012659
[r11490] best=33338.1840 gains=0 vars~538 t=312s status=OPTIMAL obj_int=2944470
[r11500] best=33338.1840 gains=0 vars~526 t=312s status=OPTIMAL obj_int=2978279
[r11510] best=33338.1840 gains=0 vars~509 t=312s status=OPTIMAL obj_int=2991379
[r11520] best=33338.1840 gains=0 vars~540 t=312s status=OPTIMAL obj_int=3015914
[r11530] best=33338.1840 gains=0 vars~506 t=313s status=OPTIMAL obj_int=2957551
[r11540] best=33338.1840 gains=0 vars~521 t=313s status=OPTIMAL obj_int=2957024
[r11550] best=33338.1840 gains=0 vars~526 t=313s status=OPTIMAL obj_int=3048351
[r11560] best=33338.1840 gains=0 vars~500 t=313s status=OPTIMAL obj_int=2952747
[r11570] best=33338.1840 gains=0 vars~532 t=314s status=OPTIMAL obj_int=3001151
[r11580] best=33338.1840 gains=0 vars~526 t=314s status=OPTIMAL obj_int=3025473
[r11590] best=33338.1840 gains=0 vars~526 t=314s status=OPTIMAL obj_int=2950396
[r11600] best=33338.1840 gains=0 vars~520 t=314s status=OPTIMAL obj_int=2953899
[r11610] best=33338.1840 gains=0 vars~514 t=315s status=OPTIMAL obj_int=2950159
[r11620] best=33338.1840 gains=0 vars~514 t=315s status=OPTIMAL obj_int=2974520
[r11630] best=33338.1840 gains=0 vars~509 t=315s status=OPTIMAL obj_int=2970145
[r11640] best=33338.1840 gains=0 vars~548 t=316s status=OPTIMAL obj_int=3020014
[r11650] best=33338.1840 gains=0 vars~541 t=316s status=OPTIMAL obj_int=2938577
[r11660] best=33338.1840 gains=0 vars~530 t=316s status=OPTIMAL obj_int=2943675
[r11670] best=33338.1840 gains=0 vars~542 t=316s status=OPTIMAL obj_int=3003563
[r11680] best=33338.1840 gains=0 vars~508 t=316s status=OPTIMAL obj_int=3008483
[r11690] best=33338.1840 gains=0 vars~517 t=317s status=OPTIMAL obj_int=2986271
[r11700] best=33338.1840 gains=0 vars~514 t=317s status=OPTIMAL obj_int=2956480
[r11710] best=33338.1840 gains=0 vars~526 t=317s status=OPTIMAL obj_int=2945256
[r11720] best=33338.1840 gains=0 vars~529 t=318s status=OPTIMAL obj_int=3008037
[r11730] best=33338.1840 gains=0 vars~542 t=318s status=OPTIMAL obj_int=3037720
[r11740] best=33338.1840 gains=0 vars~536 t=318s status=OPTIMAL obj_int=2970514
[r11750] best=33338.1840 gains=0 vars~524 t=318s status=OPTIMAL obj_int=3004003
[r11760] best=33338.1840 gains=0 vars~512 t=319s status=OPTIMAL obj_int=2943123
[r11770] best=33338.1840 gains=0 vars~527 t=319s status=OPTIMAL obj_int=2972188
[r11780] best=33338.1840 gains=0 vars~549 t=319s status=OPTIMAL obj_int=2959057
[r11790] best=33338.1840 gains=0 vars~548 t=319s status=OPTIMAL obj_int=3064258
[r11800] best=33338.1840 gains=0 vars~521 t=320s status=OPTIMAL obj_int=2995875
[r11810] best=33338.1840 gains=0 vars~522 t=320s status=OPTIMAL obj_int=3023904
[r11820] best=33338.1840 gains=0 vars~518 t=320s status=OPTIMAL obj_int=2957768
[r11830] best=33338.1840 gains=0 vars~521 t=320s status=OPTIMAL obj_int=3002348
[r11840] best=33338.1840 gains=0 vars~528 t=321s status=OPTIMAL obj_int=2914507
[r11850] best=33338.1840 gains=0 vars~554 t=321s status=OPTIMAL obj_int=2978039
[r11860] best=33338.1840 gains=0 vars~529 t=321s status=OPTIMAL obj_int=3001309
