E-617 cheapest-insertion DP-ALNS. n_chains=4 wall_h=48.0
[c0] loading ultrafine table...
[c1] loading ultrafine table...
[c2] loading ultrafine table...
[c3] loading ultrafine table...
[c1] table+rank ready in 0.2s q=0.05d T=4000
[c3] table+rank ready in 0.2s q=0.05d T=4000
/home/julian/Projects/esa_spoc_26_3/scripts/ch2_dp_numba.py:85: RuntimeWarning: invalid value encountered in cast
  c_arr_full = np.arange(T) + np.ceil(c_row / q).astype(np.int32)
/home/julian/Projects/esa_spoc_26_3/scripts/ch2_dp_numba.py:86: RuntimeWarning: invalid value encountered in cast
  e_arr_full = np.arange(T) + np.ceil(e_row / q).astype(np.int32)
/home/julian/Projects/esa_spoc_26_3/scripts/ch2_dp_numba.py:85: RuntimeWarning: invalid value encountered in cast
  c_arr_full = np.arange(T) + np.ceil(c_row / q).astype(np.int32)
/home/julian/Projects/esa_spoc_26_3/scripts/ch2_dp_numba.py:86: RuntimeWarning: invalid value encountered in cast
  e_arr_full = np.arange(T) + np.ceil(e_row / q).astype(np.int32)
[c0] table+rank ready in 0.2s q=0.05d T=4000
/home/julian/Projects/esa_spoc_26_3/scripts/ch2_dp_numba.py:85: RuntimeWarning: invalid value encountered in cast
  c_arr_full = np.arange(T) + np.ceil(c_row / q).astype(np.int32)
/home/julian/Projects/esa_spoc_26_3/scripts/ch2_dp_numba.py:86: RuntimeWarning: invalid value encountered in cast
  e_arr_full = np.arange(T) + np.ceil(e_row / q).astype(np.int32)
[c2] table+rank ready in 0.3s q=0.05d T=4000
/home/julian/Projects/esa_spoc_26_3/scripts/ch2_dp_numba.py:85: RuntimeWarning: invalid value encountered in cast
  c_arr_full = np.arange(T) + np.ceil(c_row / q).astype(np.int32)
/home/julian/Projects/esa_spoc_26_3/scripts/ch2_dp_numba.py:86: RuntimeWarning: invalid value encountered in cast
  e_arr_full = np.arange(T) + np.ceil(e_row / q).astype(np.int32)
[c0] init DP-space baseline mk=118.5255d (official bank=112.996; offset for refine)
[c3] init DP-space baseline mk=118.5255d (official bank=112.996; offset for refine)
[c2] init DP-space baseline mk=118.5255d (official bank=112.996; offset for refine)
[c1] init DP-space baseline mk=118.5255d (official bank=112.996; offset for refine)
[c1] iter=340 elapsed=6.5min DP_ok=203 DP_fail=137 accepted=203 rate=52.7/min state=122.1788 best=118.5255 kick=5 stale=203
[c0] iter=340 elapsed=6.5min DP_ok=203 DP_fail=137 accepted=200 rate=52.4/min state=120.2755 best=116.3755 kick=5 stale=201
[c2] iter=330 elapsed=6.6min DP_ok=210 DP_fail=120 accepted=208 rate=50.4/min state=120.2755 best=116.3755 kick=5 stale=209
[c1] iter=345 elapsed=6.6min DP_ok=208 DP_fail=137 accepted=207 rate=52.3/min state=122.1788 best=118.5255 kick=5 stale=208
/home/julian/Projects/esa_spoc_26_3/scripts/ch2_e617_dp_alns_cheapest_repair.py:97: RuntimeWarning: invalid value encountered in scalar subtract
  c = rank[a, x] + rank[x, b] - rank[a, b]
[c0] iter=345 elapsed=6.6min DP_ok=208 DP_fail=137 accepted=205 rate=52.1/min state=120.2755 best=116.3755 kick=5 stale=206
[c2] iter=340 elapsed=6.7min DP_ok=214 DP_fail=126 accepted=212 rate=50.9/min state=120.2755 best=116.3755 kick=5 stale=213
[c3] iter=345 elapsed=6.7min DP_ok=212 DP_fail=133 accepted=210 rate=51.6/min state=123.1752 best=118.5255 kick=5 stale=212
[c1] iter=350 elapsed=6.7min DP_ok=211 DP_fail=139 accepted=210 rate=52.1/min state=122.1788 best=118.5255 kick=5 stale=211
/home/julian/Projects/esa_spoc_26_3/scripts/ch2_e617_dp_alns_cheapest_repair.py:113: RuntimeWarning: invalid value encountered in scalar subtract
  c = rank[a, x] + rank[x, b] - rank[a, b]
[c2] iter=350 elapsed=6.8min DP_ok=218 DP_fail=132 accepted=216 rate=51.3/min state=120.2755 best=116.3755 kick=5 stale=217
[c1] iter=355 elapsed=6.8min DP_ok=214 DP_fail=141 accepted=213 rate=51.8/min state=120.2774 best=118.5255 kick=5 stale=214
[c0] iter=360 elapsed=6.9min DP_ok=216 DP_fail=144 accepted=213 rate=52.1/min state=123.1752 best=116.3755 kick=5 stale=214
[c0] iter=365 elapsed=6.9min DP_ok=217 DP_fail=148 accepted=214 rate=52.6/min state=123.1752 best=116.3755 kick=5 stale=215
[c2] iter=355 elapsed=6.9min DP_ok=222 DP_fail=133 accepted=220 rate=51.1/min state=120.2755 best=116.3755 kick=5 stale=221
[c3] iter=360 elapsed=7.0min DP_ok=222 DP_fail=138 accepted=220 rate=51.6/min state=123.1752 best=118.5255 kick=5 stale=222
[c1] iter=360 elapsed=7.0min DP_ok=218 DP_fail=142 accepted=217 rate=51.5/min state=120.2774 best=118.5255 kick=5 stale=218
[c2] iter=360 elapsed=7.1min DP_ok=226 DP_fail=134 accepted=224 rate=51.0/min state=120.2755 best=116.3755 kick=5 stale=225
[c0] iter=375 elapsed=7.1min DP_ok=221 DP_fail=154 accepted=218 rate=52.6/min state=123.1752 best=116.3755 kick=5 stale=219
[c1] iter=370 elapsed=7.2min DP_ok=223 DP_fail=147 accepted=222 rate=51.6/min state=125.1781 best=118.5255 kick=5 stale=223
[c3] iter=370 elapsed=7.2min DP_ok=230 DP_fail=140 accepted=228 rate=51.4/min state=123.1752 best=118.5255 kick=5 stale=230
[c1] iter=375 elapsed=7.3min DP_ok=225 DP_fail=150 accepted=224 rate=51.7/min state=125.1781 best=118.5255 kick=5 stale=225
[c2] iter=370 elapsed=7.3min DP_ok=232 DP_fail=138 accepted=230 rate=51.0/min state=120.2755 best=116.3755 kick=5 stale=231
[c3] iter=375 elapsed=7.3min DP_ok=233 DP_fail=142 accepted=231 rate=51.3/min state=123.1752 best=118.5255 kick=5 stale=233
[c1] iter=380 elapsed=7.3min DP_ok=228 DP_fail=152 accepted=227 rate=51.8/min state=125.1781 best=118.5255 kick=5 stale=228
[c2] iter=375 elapsed=7.3min DP_ok=235 DP_fail=140 accepted=233 rate=51.1/min state=120.2755 best=116.3755 kick=5 stale=234
[c0] iter=385 elapsed=7.4min DP_ok=228 DP_fail=157 accepted=224 rate=52.4/min state=123.1752 best=116.3755 kick=5 stale=226
[c2] iter=380 elapsed=7.5min DP_ok=239 DP_fail=141 accepted=237 rate=51.0/min state=123.1752 best=116.3755 kick=5 stale=238
[c0] iter=395 elapsed=7.5min DP_ok=233 DP_fail=162 accepted=229 rate=52.5/min state=123.1752 best=116.3755 kick=5 stale=231
[c3] iter=385 elapsed=7.5min DP_ok=240 DP_fail=145 accepted=236 rate=51.2/min state=125.0752 best=118.5255 kick=5 stale=240
[c2] iter=385 elapsed=7.6min DP_ok=243 DP_fail=142 accepted=240 rate=50.9/min state=123.1752 best=116.3755 kick=5 stale=242
[c1] iter=395 elapsed=7.6min DP_ok=236 DP_fail=159 accepted=235 rate=52.1/min state=123.2781 best=118.5255 kick=5 stale=236
[c0] iter=400 elapsed=7.6min DP_ok=236 DP_fail=164 accepted=232 rate=52.5/min state=123.1752 best=116.3755 kick=5 stale=234
[c0] iter=405 elapsed=7.7min DP_ok=239 DP_fail=166 accepted=235 rate=52.5/min state=123.1752 best=116.3755 kick=5 stale=237
[c3] iter=400 elapsed=7.8min DP_ok=247 DP_fail=153 accepted=243 rate=51.5/min state=123.1752 best=118.5255 kick=5 stale=247
[c0] iter=415 elapsed=7.9min DP_ok=244 DP_fail=171 accepted=240 rate=52.7/min state=123.1752 best=116.3755 kick=5 stale=242
[c3] iter=405 elapsed=7.9min DP_ok=252 DP_fail=153 accepted=248 rate=51.2/min state=118.9755 best=118.5255 kick=3 stale=2
[c2] iter=405 elapsed=7.9min DP_ok=252 DP_fail=153 accepted=248 rate=51.0/min state=116.3755 best=116.3755 kick=3 stale=1
[c0] iter=420 elapsed=8.0min DP_ok=248 DP_fail=172 accepted=244 rate=52.4/min state=123.1752 best=116.3755 kick=5 stale=246
[c1] iter=415 elapsed=8.0min DP_ok=249 DP_fail=166 accepted=248 rate=51.7/min state=123.2781 best=118.5255 kick=5 stale=249
[c2] iter=415 elapsed=8.1min DP_ok=259 DP_fail=156 accepted=255 rate=51.0/min state=120.2755 best=116.3755 kick=3 stale=8
[c3] iter=415 elapsed=8.1min DP_ok=260 DP_fail=155 accepted=256 rate=51.0/min state=117.1256 best=117.1256 kick=3 stale=6
[c0] iter=430 elapsed=8.2min DP_ok=254 DP_fail=176 accepted=250 rate=52.4/min state=116.3755 best=116.3755 kick=3 stale=2
[c3] iter=420 elapsed=8.3min DP_ok=264 DP_fail=156 accepted=260 rate=50.8/min state=117.1256 best=117.1256 kick=3 stale=10
[c1] iter=430 elapsed=8.3min DP_ok=256 DP_fail=174 accepted=255 rate=51.9/min state=124.7283 best=118.5255 kick=3 stale=6
[c0] iter=435 elapsed=8.3min DP_ok=257 DP_fail=178 accepted=253 rate=52.4/min state=116.7756 best=116.3755 kick=3 stale=5
[c0] iter=440 elapsed=8.4min DP_ok=260 DP_fail=180 accepted=256 rate=52.5/min state=119.8255 best=116.3755 kick=3 stale=8
[c3] iter=425 elapsed=8.4min DP_ok=266 DP_fail=159 accepted=262 rate=50.7/min state=117.1256 best=117.1256 kick=3 stale=12
[c1] iter=435 elapsed=8.4min DP_ok=261 DP_fail=174 accepted=260 rate=51.6/min state=124.7283 best=118.5255 kick=3 stale=11
[c1] iter=440 elapsed=8.5min DP_ok=263 DP_fail=177 accepted=262 rate=51.9/min state=125.1781 best=118.5255 kick=3 stale=13
[c3] iter=430 elapsed=8.5min DP_ok=270 DP_fail=160 accepted=266 rate=50.7/min state=119.4255 best=117.1256 kick=3 stale=16
[c0] iter=445 elapsed=8.5min DP_ok=264 DP_fail=181 accepted=260 rate=52.3/min state=121.9755 best=116.3755 kick=3 stale=12
[c2] iter=450 elapsed=8.6min DP_ok=273 DP_fail=177 accepted=269 rate=52.4/min state=120.2755 best=116.3755 kick=3 stale=22
[c1] iter=445 elapsed=8.6min DP_ok=266 DP_fail=179 accepted=265 rate=51.8/min state=125.1781 best=118.5255 kick=3 stale=16
[c3] iter=435 elapsed=8.6min DP_ok=274 DP_fail=161 accepted=270 rate=50.6/min state=120.2755 best=117.1256 kick=3 stale=20
[c0] iter=455 elapsed=8.7min DP_ok=271 DP_fail=184 accepted=267 rate=52.1/min state=121.9755 best=116.3755 kick=3 stale=19
[c3] iter=440 elapsed=8.7min DP_ok=278 DP_fail=162 accepted=274 rate=50.4/min state=120.2755 best=117.1256 kick=3 stale=24
[c2] iter=460 elapsed=8.8min DP_ok=281 DP_fail=179 accepted=276 rate=52.2/min state=120.2755 best=116.3755 kick=3 stale=30
[c0] iter=460 elapsed=8.8min DP_ok=275 DP_fail=185 accepted=271 rate=52.1/min state=122.1253 best=116.3755 kick=3 stale=23
[c1] iter=465 elapsed=8.9min DP_ok=277 DP_fail=188 accepted=276 rate=52.0/min state=120.2774 best=118.5255 kick=3 stale=27
[c2] iter=465 elapsed=8.9min DP_ok=286 DP_fail=179 accepted=281 rate=52.0/min state=120.2755 best=116.3755 kick=3 stale=35
[c3] iter=455 elapsed=9.0min DP_ok=287 DP_fail=168 accepted=283 rate=50.4/min state=120.2755 best=117.1256 kick=3 stale=33
[c1] iter=470 elapsed=9.0min DP_ok=280 DP_fail=190 accepted=279 rate=52.1/min state=123.2781 best=118.5255 kick=3 stale=30
[c2] iter=470 elapsed=9.1min DP_ok=290 DP_fail=180 accepted=285 rate=51.9/min state=120.2755 best=116.3755 kick=3 stale=39
[c0] iter=480 elapsed=9.1min DP_ok=283 DP_fail=197 accepted=279 rate=52.8/min state=120.2755 best=116.3755 kick=3 stale=31
[c1] iter=475 elapsed=9.1min DP_ok=283 DP_fail=192 accepted=282 rate=52.0/min state=123.5283 best=118.5255 kick=3 stale=33
[c2] iter=475 elapsed=9.1min DP_ok=293 DP_fail=182 accepted=288 rate=52.0/min state=120.2755 best=116.3755 kick=3 stale=42
[c0] iter=485 elapsed=9.2min DP_ok=287 DP_fail=198 accepted=283 rate=52.7/min state=120.2755 best=116.3755 kick=3 stale=35
[c1] iter=480 elapsed=9.2min DP_ok=286 DP_fail=194 accepted=285 rate=52.1/min state=123.5283 best=118.5255 kick=3 stale=36
[c2] iter=485 elapsed=9.3min DP_ok=299 DP_fail=186 accepted=294 rate=52.1/min state=120.2755 best=116.3755 kick=3 stale=48
[c1] iter=485 elapsed=9.3min DP_ok=290 DP_fail=195 accepted=289 rate=52.0/min state=123.5283 best=118.5255 kick=3 stale=40
[c0] iter=495 elapsed=9.3min DP_ok=292 DP_fail=203 accepted=288 rate=53.0/min state=120.2755 best=116.3755 kick=3 stale=40
[c3] iter=470 elapsed=9.4min DP_ok=299 DP_fail=171 accepted=295 rate=50.2/min state=120.2755 best=117.1256 kick=3 stale=45
[c2] iter=490 elapsed=9.4min DP_ok=303 DP_fail=187 accepted=298 rate=52.0/min state=120.2755 best=116.3755 kick=3 stale=52
[c2] iter=495 elapsed=9.5min DP_ok=305 DP_fail=190 accepted=300 rate=52.2/min state=120.2755 best=116.3755 kick=3 stale=54
[c3] iter=475 elapsed=9.5min DP_ok=304 DP_fail=171 accepted=300 rate=50.0/min state=120.2755 best=117.1256 kick=3 stale=50
[c0] iter=510 elapsed=9.6min DP_ok=301 DP_fail=209 accepted=297 rate=53.1/min state=120.2755 best=116.3755 kick=3 stale=49
[c1] iter=505 elapsed=9.7min DP_ok=300 DP_fail=205 accepted=299 rate=52.3/min state=123.2781 best=118.5255 kick=3 stale=50
[c2] iter=505 elapsed=9.7min DP_ok=311 DP_fail=194 accepted=306 rate=52.3/min state=120.2755 best=116.3755 kick=3 stale=60
[c3] iter=485 elapsed=9.7min DP_ok=311 DP_fail=174 accepted=307 rate=50.1/min state=120.2755 best=117.1256 kick=3 stale=57
[c2] iter=510 elapsed=9.7min DP_ok=314 DP_fail=196 accepted=309 rate=52.4/min state=120.2755 best=116.3755 kick=3 stale=63
[c1] iter=510 elapsed=9.8min DP_ok=305 DP_fail=205 accepted=304 rate=52.1/min state=123.2781 best=118.5255 kick=3 stale=55
[c3] iter=490 elapsed=9.8min DP_ok=315 DP_fail=175 accepted=311 rate=50.0/min state=120.2755 best=117.1256 kick=3 stale=61
[c0] iter=525 elapsed=9.9min DP_ok=306 DP_fail=219 accepted=302 rate=53.2/min state=120.2755 best=116.3755 kick=3 stale=54
[c2] iter=520 elapsed=9.9min DP_ok=319 DP_fail=201 accepted=314 rate=52.5/min state=120.2755 best=116.3755 kick=3 stale=68
[c1] iter=515 elapsed=9.9min DP_ok=309 DP_fail=206 accepted=308 rate=52.0/min state=123.2781 best=118.5255 kick=3 stale=59
[c3] iter=495 elapsed=9.9min DP_ok=319 DP_fail=176 accepted=315 rate=49.9/min state=123.1752 best=117.1256 kick=3 stale=65
[c3] iter=500 elapsed=10.0min DP_ok=322 DP_fail=178 accepted=317 rate=50.0/min state=123.1752 best=117.1256 kick=3 stale=68
[c0] iter=530 elapsed=10.0min DP_ok=311 DP_fail=219 accepted=307 rate=52.9/min state=120.2755 best=116.3755 kick=3 stale=59
[c2] iter=530 elapsed=10.1min DP_ok=326 DP_fail=204 accepted=321 rate=52.5/min state=120.2755 best=116.3755 kick=3 stale=75
[c1] iter=525 elapsed=10.1min DP_ok=316 DP_fail=209 accepted=315 rate=52.0/min state=123.2781 best=118.5255 kick=3 stale=66
[c0] iter=535 elapsed=10.1min DP_ok=315 DP_fail=220 accepted=311 rate=52.8/min state=120.2755 best=116.3755 kick=3 stale=63
[c3] iter=505 elapsed=10.1min DP_ok=327 DP_fail=178 accepted=321 rate=49.8/min state=120.2755 best=117.1256 kick=3 stale=73
[c2] iter=535 elapsed=10.2min DP_ok=328 DP_fail=207 accepted=323 rate=52.5/min state=120.2755 best=116.3755 kick=3 stale=77
[c1] iter=535 elapsed=10.2min DP_ok=321 DP_fail=214 accepted=320 rate=52.3/min state=123.2781 best=118.5255 kick=3 stale=71
[c0] iter=540 elapsed=10.2min DP_ok=319 DP_fail=221 accepted=314 rate=52.7/min state=120.2755 best=116.3755 kick=3 stale=67
[c3] iter=510 elapsed=10.2min DP_ok=331 DP_fail=179 accepted=325 rate=49.8/min state=120.2755 best=117.1256 kick=3 stale=77
[c1] iter=540 elapsed=10.3min DP_ok=323 DP_fail=217 accepted=322 rate=52.5/min state=123.2781 best=118.5255 kick=3 stale=73
/home/julian/Projects/esa_spoc_26_3/scripts/ch2_e617_dp_alns_cheapest_repair.py:97: RuntimeWarning: invalid value encountered in scalar subtract
  c = rank[a, x] + rank[x, b] - rank[a, b]
[c2] iter=545 elapsed=10.4min DP_ok=334 DP_fail=211 accepted=329 rate=52.6/min state=120.2755 best=116.3755 kick=3 stale=83
[c3] iter=515 elapsed=10.4min DP_ok=336 DP_fail=179 accepted=330 rate=49.6/min state=123.1752 best=117.1256 kick=3 stale=82
[c3] iter=520 elapsed=10.5min DP_ok=339 DP_fail=181 accepted=333 rate=49.7/min state=123.1752 best=117.1256 kick=3 stale=85
[c2] iter=550 elapsed=10.5min DP_ok=339 DP_fail=211 accepted=334 rate=52.4/min state=120.2755 best=116.3755 kick=3 stale=88
[c0] iter=560 elapsed=10.5min DP_ok=326 DP_fail=234 accepted=321 rate=53.3/min state=120.2755 best=116.3755 kick=3 stale=74
[c1] iter=550 elapsed=10.5min DP_ok=330 DP_fail=220 accepted=329 rate=52.3/min state=123.2781 best=118.5255 kick=3 stale=80
[c3] iter=525 elapsed=10.5min DP_ok=341 DP_fail=184 accepted=335 rate=49.9/min state=123.1752 best=117.1256 kick=3 stale=87
[c2] iter=555 elapsed=10.6min DP_ok=343 DP_fail=212 accepted=338 rate=52.3/min state=120.2755 best=116.3755 kick=3 stale=92
[c0] iter=565 elapsed=10.6min DP_ok=330 DP_fail=235 accepted=325 rate=53.2/min state=120.2755 best=116.3755 kick=3 stale=78
[c3] iter=530 elapsed=10.7min DP_ok=346 DP_fail=184 accepted=340 rate=49.7/min state=123.1752 best=117.1256 kick=3 stale=92
[c2] iter=560 elapsed=10.7min DP_ok=346 DP_fail=214 accepted=341 rate=52.4/min state=120.2755 best=116.3755 kick=3 stale=95
[c3] iter=535 elapsed=10.8min DP_ok=350 DP_fail=185 accepted=344 rate=49.7/min state=123.1752 best=117.1256 kick=3 stale=96
[c2] iter=565 elapsed=10.8min DP_ok=350 DP_fail=215 accepted=345 rate=52.3/min state=120.2755 best=116.3755 kick=3 stale=99
[c0] iter=575 elapsed=10.8min DP_ok=337 DP_fail=238 accepted=332 rate=53.2/min state=120.2755 best=116.3755 kick=3 stale=85
[c1] iter=565 elapsed=10.8min DP_ok=341 DP_fail=224 accepted=340 rate=52.3/min state=123.2781 best=118.5255 kick=3 stale=91
[c2] iter=570 elapsed=10.9min DP_ok=352 DP_fail=218 accepted=347 rate=52.3/min state=120.2755 best=116.3755 kick=4 stale=101
[c1] iter=570 elapsed=10.9min DP_ok=343 DP_fail=227 accepted=342 rate=52.2/min state=123.2781 best=118.5255 kick=3 stale=93
[c3] iter=545 elapsed=11.0min DP_ok=357 DP_fail=188 accepted=351 rate=49.7/min state=122.7253 best=117.1256 kick=4 stale=103
[c0] iter=585 elapsed=11.0min DP_ok=342 DP_fail=243 accepted=337 rate=53.3/min state=120.2755 best=116.3755 kick=3 stale=90
[c0] iter=590 elapsed=11.0min DP_ok=344 DP_fail=246 accepted=339 rate=53.5/min state=120.2755 best=116.3755 kick=3 stale=92
[c3] iter=550 elapsed=11.0min DP_ok=360 DP_fail=190 accepted=354 rate=49.8/min state=123.1752 best=117.1256 kick=4 stale=106
[c3] iter=555 elapsed=11.1min DP_ok=362 DP_fail=193 accepted=356 rate=50.0/min state=123.1752 best=117.1256 kick=4 stale=108
[c2] iter=580 elapsed=11.1min DP_ok=360 DP_fail=220 accepted=355 rate=52.2/min state=120.2755 best=116.3755 kick=4 stale=109
[c0] iter=595 elapsed=11.2min DP_ok=349 DP_fail=246 accepted=344 rate=53.3/min state=120.2755 best=116.3755 kick=3 stale=97
[c2] iter=585 elapsed=11.2min DP_ok=363 DP_fail=222 accepted=358 rate=52.3/min state=120.2755 best=116.3755 kick=4 stale=112
[c3] iter=560 elapsed=11.2min DP_ok=365 DP_fail=195 accepted=359 rate=50.0/min state=123.1752 best=117.1256 kick=4 stale=111
[c0] iter=600 elapsed=11.2min DP_ok=351 DP_fail=249 accepted=345 rate=53.4/min state=120.2755 best=116.3755 kick=3 stale=99
[c0] iter=605 elapsed=11.3min DP_ok=354 DP_fail=251 accepted=348 rate=53.5/min state=120.2755 best=116.3755 kick=4 stale=102
[c2] iter=595 elapsed=11.3min DP_ok=366 DP_fail=229 accepted=361 rate=52.5/min state=120.2755 best=116.3755 kick=4 stale=115
[c1] iter=590 elapsed=11.3min DP_ok=356 DP_fail=234 accepted=355 rate=52.1/min state=123.2781 best=118.5255 kick=4 stale=106
[c3] iter=565 elapsed=11.3min DP_ok=370 DP_fail=195 accepted=364 rate=49.8/min state=123.1752 best=117.1256 kick=4 stale=116
[c2] iter=600 elapsed=11.4min DP_ok=370 DP_fail=230 accepted=365 rate=52.4/min state=120.2755 best=116.3755 kick=4 stale=119
[c1] iter=595 elapsed=11.4min DP_ok=360 DP_fail=235 accepted=359 rate=52.0/min state=123.2781 best=118.5255 kick=4 stale=110
[c0] iter=610 elapsed=11.4min DP_ok=358 DP_fail=252 accepted=352 rate=53.3/min state=120.2755 best=116.3755 kick=4 stale=106
[c3] iter=575 elapsed=11.5min DP_ok=375 DP_fail=200 accepted=369 rate=50.0/min state=123.1752 best=117.1256 kick=4 stale=121
[c3] iter=580 elapsed=11.6min DP_ok=378 DP_fail=202 accepted=372 rate=50.1/min state=123.1752 best=117.1256 kick=4 stale=124
[c0] iter=615 elapsed=11.6min DP_ok=363 DP_fail=252 accepted=357 rate=53.1/min state=120.2755 best=116.3755 kick=4 stale=111
[c1] iter=605 elapsed=11.6min DP_ok=366 DP_fail=239 accepted=365 rate=52.0/min state=123.2781 best=118.5255 kick=4 stale=116
[c2] iter=610 elapsed=11.7min DP_ok=377 DP_fail=233 accepted=372 rate=52.3/min state=120.2755 best=116.3755 kick=4 stale=126
[c1] iter=610 elapsed=11.7min DP_ok=368 DP_fail=242 accepted=367 rate=52.2/min state=123.2781 best=118.5255 kick=4 stale=118
[c3] iter=585 elapsed=11.7min DP_ok=383 DP_fail=202 accepted=377 rate=49.9/min state=123.1752 best=117.1256 kick=4 stale=129
[c1] iter=615 elapsed=11.8min DP_ok=372 DP_fail=243 accepted=371 rate=52.1/min state=123.2781 best=118.5255 kick=4 stale=122
[c2] iter=615 elapsed=11.8min DP_ok=382 DP_fail=233 accepted=377 rate=52.1/min state=120.2755 best=116.3755 kick=4 stale=131
[c0] iter=625 elapsed=11.8min DP_ok=369 DP_fail=256 accepted=363 rate=52.9/min state=120.2755 best=116.3755 kick=4 stale=117
[c0] iter=630 elapsed=11.9min DP_ok=371 DP_fail=259 accepted=365 rate=53.0/min state=120.2755 best=116.3755 kick=4 stale=119
[c2] iter=625 elapsed=11.9min DP_ok=386 DP_fail=239 accepted=381 rate=52.4/min state=120.2755 best=116.3755 kick=4 stale=135
[c0] iter=635 elapsed=12.0min DP_ok=374 DP_fail=261 accepted=368 rate=53.0/min state=120.2755 best=116.3755 kick=4 stale=122
[c3] iter=600 elapsed=12.0min DP_ok=391 DP_fail=209 accepted=385 rate=50.0/min state=123.1752 best=117.1256 kick=4 stale=137
[c2] iter=630 elapsed=12.1min DP_ok=391 DP_fail=239 accepted=386 rate=52.2/min state=120.2755 best=116.3755 kick=4 stale=140
[c2] iter=635 elapsed=12.2min DP_ok=395 DP_fail=240 accepted=390 rate=52.1/min state=120.2755 best=116.3755 kick=4 stale=144
[c3] iter=615 elapsed=12.2min DP_ok=399 DP_fail=216 accepted=393 rate=50.4/min state=123.1752 best=117.1256 kick=4 stale=145
[c0] iter=650 elapsed=12.3min DP_ok=381 DP_fail=269 accepted=375 rate=53.0/min state=120.2755 best=116.3755 kick=4 stale=129
[c1] iter=640 elapsed=12.3min DP_ok=388 DP_fail=252 accepted=387 rate=52.1/min state=120.2774 best=118.5255 kick=4 stale=138
[c1] iter=645 elapsed=12.4min DP_ok=391 DP_fail=254 accepted=390 rate=52.1/min state=123.2781 best=118.5255 kick=4 stale=141
[c0] iter=660 elapsed=12.5min DP_ok=387 DP_fail=273 accepted=381 rate=53.0/min state=120.2755 best=116.3755 kick=4 stale=135
[c3] iter=625 elapsed=12.5min DP_ok=407 DP_fail=218 accepted=401 rate=50.1/min state=123.1752 best=117.1256 kick=4 stale=153
[c2] iter=650 elapsed=12.5min DP_ok=401 DP_fail=249 accepted=396 rate=52.0/min state=120.2755 best=116.3755 kick=4 stale=150
[c0] iter=665 elapsed=12.5min DP_ok=389 DP_fail=276 accepted=383 rate=53.0/min state=120.2755 best=116.3755 kick=4 stale=137
[c2] iter=655 elapsed=12.5min DP_ok=403 DP_fail=252 accepted=398 rate=52.2/min state=120.2755 best=116.3755 kick=4 stale=152
[c1] iter=655 elapsed=12.6min DP_ok=397 DP_fail=258 accepted=396 rate=52.1/min state=123.2781 best=118.5255 kick=4 stale=147
[c0] iter=670 elapsed=12.7min DP_ok=393 DP_fail=277 accepted=387 rate=52.9/min state=120.2755 best=116.3755 kick=4 stale=141
[c3] iter=635 elapsed=12.7min DP_ok=413 DP_fail=222 accepted=407 rate=50.1/min state=123.9710 best=117.1256 kick=4 stale=159
[c0] iter=675 elapsed=12.7min DP_ok=394 DP_fail=281 accepted=388 rate=53.1/min state=120.2755 best=116.3755 kick=4 stale=142
[c3] iter=640 elapsed=12.7min DP_ok=415 DP_fail=225 accepted=409 rate=50.3/min state=123.9710 best=117.1256 kick=4 stale=161
[c3] iter=645 elapsed=12.8min DP_ok=419 DP_fail=226 accepted=413 rate=50.2/min state=123.9710 best=117.1256 kick=4 stale=165
[c2] iter=670 elapsed=12.9min DP_ok=414 DP_fail=256 accepted=409 rate=52.0/min state=120.2755 best=116.3755 kick=4 stale=163
[c1] iter=680 elapsed=12.9min DP_ok=409 DP_fail=271 accepted=408 rate=52.7/min state=123.1288 best=118.5255 kick=4 stale=159
[c1] iter=685 elapsed=13.0min DP_ok=412 DP_fail=273 accepted=411 rate=52.7/min state=123.1288 best=118.5255 kick=4 stale=162
[c2] iter=675 elapsed=13.0min DP_ok=418 DP_fail=257 accepted=412 rate=51.9/min state=120.2755 best=116.3755 kick=4 stale=167
[c0] iter=690 elapsed=13.0min DP_ok=404 DP_fail=286 accepted=398 rate=53.0/min state=123.1752 best=116.3755 kick=4 stale=152
[c3] iter=660 elapsed=13.1min DP_ok=428 DP_fail=232 accepted=422 rate=50.4/min state=123.9710 best=117.1256 kick=4 stale=174
[c1] iter=690 elapsed=13.1min DP_ok=415 DP_fail=275 accepted=414 rate=52.7/min state=123.1288 best=118.5255 kick=4 stale=165
[c0] iter=695 elapsed=13.1min DP_ok=407 DP_fail=288 accepted=401 rate=53.0/min state=123.1752 best=116.3755 kick=4 stale=155
[c2] iter=680 elapsed=13.1min DP_ok=422 DP_fail=258 accepted=416 rate=51.8/min state=120.2755 best=116.3755 kick=4 stale=171
[c3] iter=665 elapsed=13.2min DP_ok=432 DP_fail=233 accepted=426 rate=50.4/min state=123.9710 best=117.1256 kick=4 stale=178
[c0] iter=700 elapsed=13.2min DP_ok=411 DP_fail=289 accepted=405 rate=52.9/min state=123.1752 best=116.3755 kick=4 stale=159
[c1] iter=700 elapsed=13.2min DP_ok=419 DP_fail=281 accepted=418 rate=52.9/min state=123.2781 best=118.5255 kick=4 stale=169
[c2] iter=690 elapsed=13.3min DP_ok=428 DP_fail=262 accepted=422 rate=51.8/min state=123.1752 best=116.3755 kick=4 stale=177
